dyad,yearmonth,peacelevel
2051,1976,0.5
2051,1977,0.5
2051,1978,0.5
2051,1979,0.5
2051,1980,0.5
2051,1981,0.5
2051,1982,0.5
2051,1983,0.5
2051,1984,0.5
2051,1985,0.5
2051,1986,0.5
2051,1987,0.5
2051,1988,0.5
2051,1989,0.5
2051,1990,0.5
2051,1991,0.5
2051,1992,0.5
2051,1993,0.5
2051,1994,0.5
2051,1995,0.5
2051,1996,0.5
2051,1997,0.5
2051,1998,0.5
2051,1999,0.5
2051,2000,0.5
2051,2001,0.5
2051,2002,0.5
2051,2003,0.5
2051,2004,0.5
2051,2005,0.5
2051,2006,0.5
2051,2007,0.5
2051,2008,0.5
2051,2009,0.5
2051,2010,0.5
2051,2011,0.5
2051,2012,0.5
2051,2013,0.5
2051,2014,0.5
2051,2015,0.5
2051,2016,0.5
2051,2017,0.5
2051,2018,0.5
2051,2019,0.5
2051,2020,0.5
2052,1962,0.5
2052,1963,0.5
2052,1964,0.5
2052,1965,0.5
2052,1966,0.5
2052,1967,0.5
2052,1968,0.5
2052,1969,0.5
2052,1970,0.5
2052,1971,0.5
2052,1972,0.5
2052,1973,0.5
2052,1974,0.5
2052,1975,0.5
2052,1976,0.5
2052,1977,0.5
2052,1978,0.5
2052,1979,0.5
2052,1980,0.5
2052,1981,0.5
2052,1982,0.5
2052,1983,0.5
2052,1984,0.5
2052,1985,0.5
2052,1986,0.5
2052,1987,0.5
2052,1988,0.5
2052,1989,0.5
2052,1990,0.5
2052,1991,0.5
2052,1992,0.5
2052,1993,0.5
2052,1994,0.5
2052,1995,0.5
2052,1996,0.5
2052,1997,0.5
2052,1998,0.5
2052,1999,0.5
2052,2000,0.5
2052,2001,0.5
2052,2002,0.5
2052,2003,0.5
2052,2004,0.5
2052,2005,0.5
2052,2006,0.5
2052,2007,0.5
2052,2008,0.5
2052,2009,0.5
2052,2010,0.5
2052,2011,0.5
2052,2012,0.5
2052,2013,0.5
2052,2014,0.5
2052,2015,0.5
2052,2016,0.5
2052,2017,0.5
2052,2018,0.5
2052,2019,0.5
2052,2020,0.5
2053,1966,0.5
2053,1967,0.5
2053,1968,0.5
2053,1969,0.5
2053,1970,0.5
2053,1971,0.5
2053,1972,0.5
2053,1973,0.5
2053,1974,0.5
2053,1975,0.5
2053,1976,0.5
2053,1977,0.5
2053,1978,0.5
2053,1979,0.5
2053,1980,0.5
2053,1981,0.5
2053,1982,0.5
2053,1983,0.5
2053,1984,0.5
2053,1985,0.5
2053,1986,0.5
2053,1987,0.5
2053,1988,0.5
2053,1989,0.5
2053,1990,0.5
2053,1991,0.5
2053,1992,0.5
2053,1993,0.5
2053,1994,0.5
2053,1995,0.5
2053,1996,0.5
2053,1997,0.5
2053,1998,0.5
2053,1999,0.5
2053,2000,0.5
2053,2001,0.5
2053,2002,0.5
2053,2003,0.5
2053,2004,0.5
2053,2005,0.5
2053,2006,0.5
2053,2007,0.5
2053,2008,0.5
2053,2009,0.5
2053,2010,0.5
2053,2011,0.5
2053,2012,0.5
2053,2013,0.5
2053,2014,0.5
2053,2015,0.5
2053,2016,0.5
2053,2017,0.5
2053,2018,0.5
2053,2019,0.5
2053,2020,0.5
2054,1978,0.5
2054,1979,0.5
2054,1980,0.5
2054,1981,0.5
2054,1982,0.5
2054,1983,0.5
2054,1984,0.5
2054,1985,0.5
2054,1986,0.5
2054,1987,0.5
2054,1988,0.5
2054,1989,0.5
2054,1990,0.5
2054,1991,0.5
2054,1992,0.5
2054,1993,0.5
2054,1994,0.5
2054,1995,0.5
2054,1996,0.5
2054,1997,0.5
2054,1998,0.5
2054,1999,0.5
2054,2000,0.5
2054,2001,0.5
2054,2002,0.5
2054,2003,0.5
2054,2004,0.5
2054,2005,0.5
2054,2006,0.5
2054,2007,0.5
2054,2008,0.5
2054,2009,0.5
2054,2010,0.5
2054,2011,0.5
2054,2012,0.5
2054,2013,0.5
2054,2014,0.5
2054,2015,0.5
2054,2016,0.5
2054,2017,0.5
2054,2018,0.5
2054,2019,0.5
2054,2020,0.5
2055,1974,0.5
2055,1975,0.5
2055,1976,0.5
2055,1977,0.5
2055,1978,0.5
2055,1979,0.5
2055,1980,0.5
2055,1981,0.5
2055,1982,0.5
2055,1983,0.5
2055,1984,0.5
2055,1985,0.5
2055,1986,0.5
2055,1987,0.5
2055,1988,0.5
2055,1989,0.5
2055,1990,0.5
2055,1991,0.5
2055,1992,0.5
2055,1993,0.5
2055,1994,0.5
2055,1995,0.5
2055,1996,0.5
2055,1997,0.5
2055,1998,0.5
2055,1999,0.5
2055,2000,0.5
2055,2001,0.5
2055,2002,0.5
2055,2003,0.5
2055,2004,0.5
2055,2005,0.5
2055,2006,0.5
2055,2007,0.5
2055,2008,0.5
2055,2009,0.5
2055,2010,0.5
2055,2011,0.5
2055,2012,0.5
2055,2013,0.5
2055,2014,0.5
2055,2015,0.5
2055,2016,0.5
2055,2017,0.5
2055,2018,0.5
2055,2019,0.5
2055,2020,0.5
2056,1979,0.5
2056,1980,0.5
2056,1981,0.5
2056,1982,0.5
2056,1983,0.5
2056,1984,0.5
2056,1985,0.5
2056,1986,0.5
2056,1987,0.5
2056,1988,0.5
2056,1989,0.5
2056,1990,0.5
2056,1991,0.5
2056,1992,0.5
2056,1993,0.5
2056,1994,0.5
2056,1995,0.5
2056,1996,0.5
2056,1997,0.5
2056,1998,0.5
2056,1999,0.5
2056,2000,0.5
2056,2001,0.5
2056,2002,0.5
2056,2003,0.5
2056,2004,0.5
2056,2005,0.5
2056,2006,0.5
2056,2007,0.5
2056,2008,0.5
2056,2009,0.5
2056,2010,0.5
2056,2011,0.5
2056,2012,0.5
2056,2013,0.5
2056,2014,0.5
2056,2015,0.5
2056,2016,0.5
2056,2017,0.5
2056,2018,0.5
2056,2019,0.5
2056,2020,0.5
2057,1979,0.5
2057,1980,0.5
2057,1981,0.5
2057,1982,0.5
2057,1983,0.5
2057,1984,0.5
2057,1985,0.5
2057,1986,0.5
2057,1987,0.5
2057,1988,0.5
2057,1989,0.5
2057,1990,0.5
2057,1991,0.5
2057,1992,0.5
2057,1993,0.5
2057,1994,0.5
2057,1995,0.5
2057,1996,0.5
2057,1997,0.5
2057,1998,0.5
2057,1999,0.5
2057,2000,0.5
2057,2001,0.5
2057,2002,0.5
2057,2003,0.5
2057,2004,0.5
2057,2005,0.5
2057,2006,0.5
2057,2007,0.5
2057,2008,0.5
2057,2009,0.5
2057,2010,0.5
2057,2011,0.5
2057,2012,0.5
2057,2013,0.5
2057,2014,0.5
2057,2015,0.5
2057,2016,0.5
2057,2017,0.5
2057,2018,0.5
2057,2019,0.5
2057,2020,0.5
2058,1981,0.5
2058,1982,0.5
2058,1983,0.5
2058,1984,0.5
2058,1985,0.5
2058,1986,0.5
2058,1987,0.5
2058,1988,0.5
2058,1989,0.5
2058,1990,0.5
2058,1991,0.5
2058,1992,0.5
2058,1993,0.5
2058,1994,0.5
2058,1995,0.5
2058,1996,0.5
2058,1997,0.5
2058,1998,0.5
2058,1999,0.5
2058,2000,0.5
2058,2001,0.5
2058,2002,0.5
2058,2003,0.5
2058,2004,0.5
2058,2005,0.5
2058,2006,0.5
2058,2007,0.5
2058,2008,0.5
2058,2009,0.5
2058,2010,0.5
2058,2011,0.5
2058,2012,0.5
2058,2013,0.5
2058,2014,0.5
2058,2015,0.5
2058,2016,0.5
2058,2017,0.5
2058,2018,0.5
2058,2019,0.5
2058,2020,0.5
2060,1983,0.5
2060,1984,0.5
2060,1985,0.5
2060,1986,0.5
2060,1987,0.5
2060,1988,0.5
2060,1989,0.5
2060,1990,0.5
2060,1991,0.5
2060,1992,0.5
2060,1993,0.5
2060,1994,0.5
2060,1995,0.5
2060,1996,0.5
2060,1997,0.5
2060,1998,0.5
2060,1999,0.5
